"","OLS","FE","FE+Time","RE","FE-Log"
"","b/se","b/se","b/se","b/se","b/se"
"number_of_researchers","2.824875","25.48786***","33.72206***","23.86992***",""
"","6.649793","4.212919","6.775179","4.176167",""
"2005.year","","","0","",""
"","","",".","",""
"2010.year","","","-388.9291","",""
"","","","7286.118","",""
"2015.year","","","-8095.332","",""
"","","","8468.429","",""
"2022.year","","","-15354.66","",""
"","","","10795.45","",""
"ln_rd","","","","",".3362492**"
"","","","","",".1405177"
"_cons","81977.31***","5184.646","-16756.93","10666.96","8.466319***"
"","28089.57","14487.03","19911.92","41884.78","1.085029"
"N","24","24","24","24","24"
"R-sq",".008136",".6828455",".7336479","",".2519622"
"adj. R-sq","-.0369487",".5709086",".5624216","","-.0120511"
